id,age,gender,region,income_level,education_level,daily_role,device_hours_per_day,phone_unlocks,notifications_per_day,social_media_mins,study_mins,physical_activity_days,sleep_hours,sleep_quality,anxiety_score,depression_score,stress_level,happiness_score,focus_score,high_risk_flag,device_type,productivity_score,digital_dependence_score
1,40,Female,Asia,High,High School,Part-time/Shift,3.54,45,561,98,34,7.0,9.12379996856656,3.353627229065094,9.926651431001652,5.0,6.593288791385255,8.0,23.0,0,Android,70.0,25.7
2,27,Male,Africa,Lower-Mid,Master,Full-time Employee,5.65,100,393,174,102,2.0,8.83751689466956,2.90814688427508,4.0,4.0,4.126925580981799,8.1,35.0,0,Laptop,64.0,30.1
7,18,Female,Europe,Lower-Mid,High School,Unemployed_Looking,4.95,119,553,61,188,4.0,8.422325191079652,3.06511831938304,7.510411738119959,1.0,9.923969314465092,7.7,15.0,0,iPhone,81.0,32.8
8,33,Female,Europe,Upper-Mid,Master,Full-time Employee,6.55,82,184,48,155,3.0,6.295213014211736,2.9523063893081094,4.64684906066567,8.0,1.0,8.6,70.0,0,Tablet,73.0,25.7
9,43,Female,South America,Lower-Mid,PhD,Full-time Employee,8.05,155,309,16,116,4.0,9.698407146278884,3.065844303103937,7.6150050676287,18.0,2.8660012980489773,8.3,53.0,0,Android,60.0,39.9
10,41,Female,Asia,Low,High School,Full-time Employee,2.33,38,110,249,155,5.0,9.72271969916111,3.187426003154164,5.586164212581286,0.0,1.976406835980132,9.2,73.0,0,iPhone,70.0,10.8
11,47,Female,South America,Lower-Mid,High School,Caregiver/Home,7.89,129,212,31,37,4.0,6.864379263972305,3.074677273050004,6.79732346476202,12.0,8.889003899028802,4.1,59.0,0,iPhone,60.0,35.2
12,13,Female,Asia,Low,High School,Student,4.59,139,474,39,78,7.0,7.316848708334774,3.382698590755737,5.0,2.0,8.764770571840668,2.1,27.0,0,Tablet,60.0,31.8
13,26,Male,Africa,Lower-Mid,Master,Full-time Employee,8.55,110,424,82,0,4.0,5.917848475661263,3.106251546232834,4.0,9.0,6.831297661361751,8.8,27.0,0,Laptop,67.0,38.4
14,21,Female,Europe,Low,Bachelor,Student,3.99,72,211,178,102,4.0,6.04910572914114,3.078083020008001,6.234905492105462,0.0,2.846489119490281,9.9,51.0,0,Laptop,46.0,19.1
15,24,Female,Africa,Lower-Mid,Master,Full-time Employee,8.91,92,185,161,201,1.0,5.779037569790717,2.7609676834105605,7.206864455166425,9.0,1.223006718921302,8.7,55.0,0,Android,48.0,32.0
17,24,Female,Africa,Upper-Mid,Bachelor,Student,5.0,114,155,19,102,3.0,9.617037249632707,2.9756235817286774,5.589573037167772,6.0,1.0,9.6,56.0,0,Tablet,55.0,23.7
22,27,Male,Europe,Upper-Mid,High School,Student,7.3,141,525,72,64,2.0,8.252850132119574,2.92817857589818,4.0,10.0,1.0,8.3,35.0,0,iPhone,63.0,40.9
23,25,Female,Asia,Upper-Mid,Bachelor,Full-time Employee,4.63,112,51,173,168,2.0,6.847907287205611,2.849226419862877,4.634958034392913,3.0,1.072755323546035,8.5,62.0,0,Android,66.0,19.7
28,44,Female,North America,Lower-Mid,Bachelor,Caregiver/Home,6.5,107,304,20,301,0.0,6.371517255895567,2.78251543466444,5.816794351840231,8.0,7.295017386220814,8.9,41.59859976662777,0,iPhone,69.0,31.9
30,35,Female,Africa,Low,Master,Caregiver/Home,3.01,47,356,119,0,5.0,9.42605210567908,3.149111382480191,7.038508918747437,0.0,3.943071110818901,8.2,38.0,0,Laptop,62.0,19.1
32,18,Male,Europe,Low,High School,Full-time Employee,3.39,93,309,112,137,5.0,8.34004256115771,3.17226237638904,4.0,4.0,6.864401948035924,6.5,62.0,0,Laptop,65.29930112427833,20.6
33,26,Female,Asia,Upper-Mid,High School,Full-time Employee,4.19,108,141,86,0,4.0,8.66072306968108,3.0354834770085306,6.456506633284729,8.0,1.0,9.7,78.0,0,Laptop,65.0,20.8
34,45,Male,North America,Low,Master,Part-time/Shift,0.98,19,85,3,118,1.0,9.23280775573996,2.86401104407393,4.0,1.0,1.0,2.0,86.0,0,Laptop,54.0,6.2
35,18,Female,Middle East,Low,Bachelor,Student,6.46,141,123,132,0,2.0,6.765647643430832,2.837932199965437,4.971281297495545,13.0,5.102045915155113,8.6,66.0,0,iPhone,73.0,27.5
37,32,Male,Asia,Low,PhD,Unemployed_Looking,5.96,101,772,115,47,4.0,8.529181992788837,3.0937235145515065,4.0,4.0,5.028737740713357,9.0,9.0,0,Android,67.0,41.0
38,20,Male,North America,Lower-Mid,High School,Full-time Employee,2.19,61,480,71,103,4.0,6.245334614235386,3.101675897318687,5.0,0.0,1.900088400702232,8.7,42.0,0,iPhone,45.0,20.7
39,41,Male,Asia,High,Master,Full-time Employee,4.54,58,172,34,187,5.0,7.54871444850384,3.154849104347721,4.0,2.0,5.891886308629696,8.2,61.0,0,Android,52.0,19.9
40,13,Male,Africa,Low,High School,Student,6.3,152,361,148,233,7.0,8.010635135382634,3.2719093272303805,4.0,0.0,4.6540966232282015,9.6,33.0,0,iPhone,67.0,33.9
41,35,Female,Europe,High,High School,Unemployed_Looking,9.89,171,231,61,13,2.0,7.075744741669438,2.936991120062812,5.257727940157244,14.0,2.0748078035810704,7.3,62.0,0,Android,72.0,42.5
42,20,Female,South America,Low,Bachelor,Part-time/Shift,6.4,137,207,173,0,3.0,6.148762413767652,2.938572062785197,7.230149247910212,3.0,4.990322843547051,7.9,50.0,0,Laptop,67.0,29.6
43,40,Male,Africa,Lower-Mid,Master,Part-time/Shift,4.86,83,114,199,166,2.0,7.276884560350949,2.979726184831822,4.0,3.0,10.0,0.2,73.0,0,Tablet,64.0,20.8
44,22,Female,North America,Upper-Mid,Bachelor,Part-time/Shift,8.32,176,223,120,0,1.0,5.951503393041112,2.808037542672635,3.486714604227396,10.0,3.1882666047084225,9.1,63.0,0,Laptop,62.0,38.1
45,49,Male,Europe,Low,Bachelor,Caregiver/Home,3.9,77,150,99,0,0.0,8.502375170745147,2.655405159240562,4.0,3.0,10.0,0.3,75.0,0,Tablet,50.0,20.2
46,23,Female,Europe,Upper-Mid,Bachelor,Full-time Employee,3.7,88,158,81,104,6.0,7.519196324039396,3.151960132130581,7.560516561848887,3.0,4.655137623052005,9.4,93.0,0,Laptop,58.0,18.3
47,27,Male,North America,Upper-Mid,Bachelor,Student,11.03,208,159,68,0,3.0,6.262353452202505,2.974222556585114,4.0,16.0,3.012163325391885,8.7,65.0,0,Tablet,65.29930112427833,46.1
49,21,Female,Europe,Upper-Mid,Bachelor,Student,5.66,122,157,256,9,3.0,8.403072007283997,3.0705232089886896,6.515635856368208,3.0,1.0,8.5,79.0,0,Tablet,68.0,25.3
50,38,Male,Asia,High,Bachelor,Part-time/Shift,5.53,75,268,101,92,3.0,6.296379802610418,2.9201154078604232,5.0,14.0,1.0,9.4,60.0,0,Tablet,47.0,36.68415185296776
53,21,Female,Europe,Low,Bachelor,Student,7.94,141,802,62,145,5.0,7.830058075672094,3.107176919273981,5.377839530398459,13.0,1.7594011796312383,9.9,0.0,0,Android,58.0,49.1
54,14,Male,Middle East,Lower-Mid,High School,Student,9.06,152,165,256,63,4.0,7.821374632216433,3.13612361984136,4.0,14.0,4.855642390719986,0.4,41.59859976662777,0,Tablet,71.0,36.68415185296776
55,15,Female,Middle East,Lower-Mid,High School,Student,9.94,177,104,180,0,4.0,6.412085343041421,2.995108207180093,9.261982459863992,12.0,1.0,9.4,64.0,0,Tablet,75.0,38.0
57,17,Male,Europe,Lower-Mid,High School,Student,6.76,146,182,166,0,3.0,7.211652562048101,2.991685742691854,4.0,4.0,1.1578017912501353,9.2,55.0,0,iPhone,57.0,36.68415185296776
58,34,Male,Europe,Upper-Mid,Bachelor,Unemployed_Looking,2.45,39,545,46,182,4.0,8.388344087213595,3.0507164470199823,4.0,0.0,2.8726931953366406,2.5,41.59859976662777,0,Laptop,62.0,21.9
59,16,Male,Africa,Low,High School,Student,4.55,104,517,50,130,6.0,9.17636942900579,3.237666136690996,4.0,4.0,3.889765789424618,9.9,36.0,0,Laptop,68.0,29.9
60,18,Male,Europe,Lower-Mid,Bachelor,Part-time/Shift,2.56,80,119,191,44,3.0,7.758271429405124,2.91403935564397,4.0,0.0,1.0,8.2,71.0,0,Laptop,75.0,13.0
61,30,Male,Asia,Upper-Mid,Bachelor,Full-time Employee,5.59,153,268,41,45,4.0,7.574544007013483,3.134741143728071,4.0,0.0,10.0,0.9,68.0,0,iPhone,60.0,36.68415185296776
62,17,Male,North America,Lower-Mid,High School,Student,3.96,59,337,50,229,2.0,7.426577844742267,2.9883980059005526,4.0,8.0,1.0,8.4,60.0,0,iPhone,63.0,20.3
63,19,Male,North America,Low,Bachelor,Part-time/Shift,2.78,92,264,258,62,5.0,8.156714643029364,3.134164896822617,4.0,0.0,1.0,8.6,42.0,0,Android,54.0,18.9
64,46,Female,Asia,Low,Master,Full-time Employee,8.23,199,404,39,135,5.0,7.558764921353024,3.252964968465329,7.809976367959128,9.0,1.0,6.4,40.0,0,Laptop,53.0,46.9
66,32,Female,Europe,Upper-Mid,Master,Part-time/Shift,6.28,103,379,120,212,3.0,8.296487850322352,2.9920619744339487,5.198322817855788,3.0,1.0,8.9,41.0,0,iPhone,79.0,31.6
67,33,Female,Europe,High,Bachelor,Full-time Employee,10.65,175,432,91,77,3.0,7.542666904972116,3.04363482792986,9.611414794296806,16.0,5.09086894337754,9.6,22.0,0,Tablet,64.0,49.9
68,32,Male,Asia,Upper-Mid,High School,Full-time Employee,7.93,187,423,186,72,3.0,8.039315097022087,2.949090151729989,4.0,6.0,1.0,9.9,36.0,0,Laptop,75.0,43.8
69,18,Female,Europe,Lower-Mid,Bachelor,Student,5.47,103,455,252,0,1.0,8.220904872095732,2.7431936346036463,4.0,7.0,7.171132473602274,7.6,13.0,0,Android,65.29930112427833,30.5
70,50,Female,South America,Lower-Mid,Bachelor,Full-time Employee,5.05,38,272,71,76,2.0,9.206381356762895,2.811569877863434,9.036648146802015,7.0,1.0,8.4,57.0,0,Android,59.0,22.6
71,29,Female,Asia,Upper-Mid,Bachelor,Full-time Employee,2.33,106,591,75,175,6.0,7.8524834514972275,3.314735633726542,4.689862359514329,2.0,7.70883257376728,8.5,6.0,0,Laptop,65.29930112427833,27.8
73,33,Male,Middle East,High,High School,Part-time/Shift,4.98,109,206,75,218,0.0,8.34625340437879,2.723099605779935,4.0,4.0,5.280804037766603,6.9,76.0,0,iPhone,65.0,25.0
74,31,Male,Europe,Low,PhD,Full-time Employee,4.22,107,195,114,13,5.0,8.261186141328707,3.076171458018598,5.0,4.0,1.845822079612192,6.418568102444702,66.0,0,Laptop,81.0,22.2
76,24,Female,Europe,Low,Bachelor,Student,5.64,111,254,262,139,4.0,9.182695183458767,3.012847025376664,7.541329933426649,6.0,9.89038940526933,5.1,63.0,0,Tablet,65.29930112427833,26.9
77,50,Male,North America,Lower-Mid,Bachelor,Full-time Employee,8.36,206,186,0,81,4.0,8.78048615767152,3.0273618669548266,4.0,16.0,2.8960856965198603,9.7,64.0,0,Tablet,66.0,42.3
79,23,Male,Asia,Low,Bachelor,Student,6.7,169,151,82,184,1.0,8.695587728806226,2.7590687911853395,4.0,6.0,3.205599913264232,8.3,55.0,0,Laptop,66.0,31.8
81,19,Female,Middle East,Low,Bachelor,Student,5.41,126,560,246,84,2.0,8.461321765218736,2.96226621061954,6.6392064461762015,8.0,5.086308941931842,6.2,12.0,0,iPhone,63.0,35.3
82,47,Male,Africa,Upper-Mid,Bachelor,Caregiver/Home,8.8,217,217,20,91,7.0,7.721896804822373,3.3129916690040107,5.0,12.0,2.7577976364352943,7.4,75.0,0,Laptop,69.0,44.7
83,22,Female,Europe,Low,Bachelor,Unemployed_Looking,3.38,49,73,73,62,3.0,7.181162487969966,2.9785674893625527,6.391041021213569,5.0,5.0648614981525375,0.0,83.0,0,Tablet,80.0,11.3
84,15,Female,Europe,Lower-Mid,High School,Student,3.61,65,529,182,102,4.0,8.32690553231554,3.062668253811086,4.227988649809982,2.0,2.881164806290006,8.7,21.0,0,Tablet,60.0,24.8
86,41,Female,Europe,Lower-Mid,PhD,Part-time/Shift,5.49,143,55,19,39,4.0,7.878292906908651,3.151732634325639,5.415904139534087,6.0,9.8896626619995,1.6,71.0,0,Android,60.0,26.2
87,22,Male,Africa,Low,Bachelor,Part-time/Shift,6.0,158,288,207,228,0.0,7.055441933565628,2.6917785874241567,4.0,8.0,1.0,8.1,62.0,0,Laptop,74.0,32.4
88,23,Female,North America,Lower-Mid,Bachelor,Student,7.63,173,320,49,115,2.0,8.342518708385104,2.902702039242573,7.402065824489482,11.0,8.042292277866062,8.6,65.0,0,iPhone,68.0,38.6
89,28,Female,Europe,High,Bachelor,Part-time/Shift,5.73,175,436,53,139,0.0,7.229125938017113,2.738137722268001,4.0,6.0,5.303382741095426,8.2,35.0,0,Laptop,60.0,38.0
91,16,Female,Middle East,Lower-Mid,High School,Student,3.31,112,800,106,246,2.0,7.12216297464861,2.9473144280840584,6.650812191178848,7.0,9.14253732113361,9.5,0.0,0,Tablet,66.0,34.9
93,22,Female,Europe,Low,High School,Full-time Employee,5.49,139,210,160,119,5.0,7.186155547352643,3.1463429865903034,6.898508519830664,7.0,1.0,9.0,72.0,0,Laptop,58.0,36.68415185296776
94,19,Male,Europe,Low,Bachelor,Student,4.06,78,141,107,52,2.0,7.560683011668252,2.908582468840074,4.0,7.0,1.1118065437865272,9.4,53.0,0,Tablet,62.0,17.3
96,24,Male,Europe,Low,Master,Student,6.8,211,100,40,111,3.0,7.989388170986725,2.892590894617246,4.0,11.0,9.987031673538771,0.0,74.0,0,Android,50.0,34.9
97,29,Male,South America,Low,High School,Part-time/Shift,10.09,246,302,373,149,5.0,7.740627847211608,3.101556477398552,4.0,18.0,1.8791958232109447,7.7,42.0,0,Tablet,68.0,50.8
98,41,Male,Asia,Low,Bachelor,Part-time/Shift,5.34,70,230,157,146,3.0,7.067563030251573,2.943960440922292,5.0,4.0,6.110832174645446,8.8,35.0,0,Tablet,68.0,23.8
100,16,Female,Africa,Low,High School,Student,5.12,101,270,86,239,7.0,6.887137759981238,3.329058077696849,7.448560090848648,5.0,1.0,10.0,74.0,0,Android,63.0,24.8
101,35,Female,Asia,Low,Bachelor,Full-time Employee,7.26,131,89,89,178,1.0,7.999165553471046,2.812377008598492,8.486007801491446,9.0,10.0,3.3,56.0,0,Laptop,51.0,29.9
102,16,Female,South America,Low,High School,Student,4.67,131,51,168,2,4.0,9.128402132800373,3.041190290968551,6.16869260249611,8.0,1.0,9.9,89.0,0,Android,61.0,20.7
103,41,Female,Europe,Upper-Mid,Master,Full-time Employee,6.14,92,392,252,0,4.0,7.8753043943710335,2.989117254612524,5.930321775060616,6.0,1.011152377556776,9.9,31.0,0,Tablet,62.0,31.9
104,39,Female,Asia,High,Bachelor,Full-time Employee,5.13,126,518,0,169,4.0,7.114112244632262,3.049697775125653,5.51759800101643,4.0,3.8968917155618006,7.1,29.0,0,Tablet,57.0,35.5
106,20,Female,Europe,Low,High School,Part-time/Shift,2.74,41,96,62,43,4.0,6.085233666864286,3.043777202797601,4.682834698476096,3.0,3.112981756298617,9.9,81.0,0,Android,65.29930112427833,9.8
107,43,Female,Europe,Upper-Mid,Bachelor,Part-time/Shift,9.43,209,337,82,19,2.0,6.349469160424807,2.8953149145847643,7.577692620074597,15.0,3.289318533689829,6.1,38.0,0,Android,84.0,47.8
108,15,Female,Africa,Low,High School,Student,8.2,139,740,353,183,5.0,4.638497138526186,3.143905411150726,6.863508631874309,14.0,9.861659777085704,3.9,0.0,0,Laptop,67.0,47.1
109,24,Male,South America,Upper-Mid,Bachelor,Student,2.46,61,305,122,186,6.0,7.655989832196568,3.133489217357445,4.0,0.0,1.0,9.6,52.0,0,Laptop,68.0,16.6
111,17,Female,Asia,Low,High School,Part-time/Shift,2.88,56,158,131,159,4.0,7.372741514745921,2.999853454844666,7.745852143228117,1.0,4.867762526965846,8.4,57.0,0,Tablet,46.0,13.4
112,30,Female,Asia,Low,Master,Full-time Employee,3.68,82,424,56,186,0.0,9.835491392625457,2.6917629523362434,8.402754166616711,0.0,4.319221444878334,8.6,53.0,0,Laptop,65.0,24.9
116,24,Male,South America,Low,Bachelor,Student,9.17,211,301,169,117,3.0,6.979785898258985,2.931185601809123,4.0,9.0,3.0681614698418387,7.1,41.0,0,Tablet,68.0,45.2
117,26,Female,Asia,Low,Bachelor,Full-time Employee,4.91,98,166,77,246,1.0,8.092797697786585,2.8217046099231182,7.467066757026435,6.0,7.293797546865624,9.2,35.0,0,Tablet,65.0,22.3
120,24,Female,North America,Upper-Mid,Bachelor,Full-time Employee,5.62,72,429,153,26,6.0,8.403295116219535,3.348849949154596,4.637870645473068,1.0,4.648127873335729,7.4,33.0,0,iPhone,73.0,28.0
121,21,Male,South America,Upper-Mid,Bachelor,Full-time Employee,3.31,67,396,52,0,5.0,8.322897152645941,3.0960427834799176,4.0,0.0,2.6098550252099746,9.8,50.0,0,Android,73.0,21.0
123,25,Male,Europe,Lower-Mid,Bachelor,Full-time Employee,10.01,120,249,21,240,3.0,6.862037700969218,3.049486272412045,5.0,11.0,3.109368442830128,7.3,61.0,0,Tablet,79.0,37.8
124,29,Female,Middle East,Low,Bachelor,Part-time/Shift,6.92,206,511,272,102,1.0,7.963667470586506,2.886579049398545,9.690948788268454,8.0,2.201363787627758,5.7,9.0,0,Laptop,51.0,45.7
